CompanyNames,CompanyCode,marketcap_num
American Tower,AMT,91780000000
Blackstone Group,BX,91370000000
Boston Scientific,BSX,89420000000
Zoetis,ZTS,87920000000
Cigna,CI,87070000000
Fiserv,FI,85280000000
Arista Networks,ANET,83140000000
Synopsys,SNPS,81180000000
KLA,KLAC,81140000000
Cadence Design Systems,CDNS,79610000000
Illinois Tool Works,ITW,78840000000
Sherwin-Williams,SHW,77600000000
Equinix,EQIX,77370000000
Workday,WDAY,77110000000
KKR & Co.,KKR,76790000000
HCA Healthcare,HCA,75760000000
Schlumberger,SLB,75330000000
Southern Company,SO,75310000000
Waste Management,WM,74860000000
CME Group,CME,73990000000
Duke Energy,DUK,73890000000
Intercontinental Exchange,ICE,72920000000
General Dynamics,GD,72100000000
CrowdStrike,CRWD,71300000000
Altria Group,MO,71240000000
Moody's,MCO,70810000000
Marriott International,MAR,70650000000
CSX Corporation,CSX,69960000000
Colgate-Palmolive,CL,68930000000
Becton Dickinson,BDX,68910000000
Snowflake,SNOW,67920000000
PayPal,PYPL,67879999999.99999
EOG Resources,EOG,66849999999.99999
U.S. Bancorp,USB,66110000000
Northrop Grumman,NOC,65430000000.00001
Chipotle Mexican Grill,CMG,65180000000.00001
McKesson,MCK,64650000000.00001
Southern Copper,SCCO,64239999999.99999
Target,TGT,64050000000
FedEx,FDX,61940000000
Phillips 66,PSX,60980000000
O'Reilly Automotive,ORLY,60710000000
Cintas,CTAS,60670000000
Marathon Petroleum,MPC,60580000000
Parker-Hannifin,PH,60360000000
PNC Financial Services,PNC,60330000000
Amphenol,APH,60160000000
Marvell Technology Group,MRVL,59780000000
TransDigm,TDG,59540000000
Dell,DELL,59370000000
Roper Technologies,ROP,59300000000
Enterprise Products,EPD,59140000000
Monster Beverage,MNST,57920000000
Air Products and Chemicals,APD,57920000000
Apollo Global Management,APO,57090000000
Freeport-McMoRan,FCX,57050000000
Ecolab,ECL,56300000000
Charter Communications,CHTR,55800000000
Motorola Solutions,MSI,54730000000
Autodesk,ADSK,54390000000
Republic Services,RSG,53980000000
Norfolk Southern,NSC,53970000000
Emerson,EMR,53760000000
Pioneer Natural Resources,PXD,53600000000
3M,MMM,52940000000
Simon Property Group,SPG,52840000000
Paccar,PCAR,52790000000
Capital One,COF,52440000000
MetLife,MET,51980000000
Fortinet,FTNT,51040000000
Public Storage,PSA,50890000000
Occidental Petroleum,OXY,50860000000
Truist Financial,TFC,50190000000
Arthur J. Gallagher & Co.,AJG,50050000000
Carrier,CARR,49920000000
Aflac,AFL,49350000000
Hilton Worldwide,HLT,49180000000
American International Group,AIG,48660000000
AutoZone,AZO,48390000000
Energy Transfer Partners,ET,48320000000
General Motors,GM,48280000000
Welltower,WELL,48160000000
Microchip Technology,MCHP,48060000000
The Travelers Companies,TRV,48010000000
Crown Castle,CCI,47730000000
Ross Stores,ROST,47700000000
Estee Lauder,EL,47670000000
Valero Energy,VLO,47100000000
D. R. Horton,DHI,46570000000
DexCom,DXCM,46420000000
Copart,CPRT,46420000000
Ford,F,45820000000
Kraft Heinz,KHC,45650000000
Realty Income,O,45620000000
Constellation Brands,STZ,45310000000
Digital Realty,DLR,44950000000
Edwards Lifesciences,EW,44840000000
Sempra Energy,SRE,44780000000
Keurig Dr Pepper,KDP,44700000000
Humana,HUM,44100000000
W. W. Grainger,GWW,44000000000
IDEXX Laboratories,IDXX,43860000000
Hess,HES,43810000000
Cencora,COR,43690000000
Old Dominion Freight Line,ODFL,43430000000
Paychex,PAYX,43400000000
Pacific Gas and Electric,PCG,43220000000
Seagen,SGEN,43150000000
Nucor,NUE,43080000000
MSCI,MSCI,43080000000
United Rentals,URI,43010000000
DoorDash,DASH,42980000000
Williams Companies,WMB,42090000000
Bank of New York Mellon,BK,42070000000
Lennar,LEN,41670000000
Datadog,DDOG,41460000000
Block,SQ,41350000000
Allstate,ALL,41170000000
American Electric Power,AEP,40960000000
Kimberly-Clark,KMB,40810000000
Kenvue,KVUE,40210000000
Oneok,OKE,40130000000
Waste Connections,WCN,40010000000
L3Harris Technologies,LHX,39830000000
Cheniere Energy,LNG,39690000000
Newmont,NEM,39470000000
Centene,CNC,39450000000
IQVIA,IQV,39450000000
The Hershey Company,HSY,39210000000
Ameriprise Financial,AMP,39130000000
Moderna,MRNA,39120000000
Constellation Energy,CEG,38810000000
Fastenal,FAST,38800000000
Cognizant Technology Solutions,CTSH,38770000000
Agilent Technologies,A,38690000000
Kinder Morgan,KMI,38500000000
MPLX,MPLX,38120000000
Dominion Energy,D,38110000000
Prudential Financial,PRU,38020000000
Sysco,SYY,37890000000
Interactive Brokers,IBKR,37840000000
Ametek,AME,37800000000
Dow,DOW,37670000000
Fidelity National Information Services,FIS,37600000000
Las Vegas Sands,LVS,37570000000
Ares Management,ARES,37280000000
Electronic Arts,EA,37230000000
General Mills,GIS,36550000000
Gartner,IT,36320000000
Otis Worldwide,OTIS,36270000000
Yum! Brands,YUM,36240000000
Palantir,PLTR,36190000000
Zscaler,ZS,36030000000
Biogen,BIIB,35620000000
Verisk Analytics,VRSK,35430000000
Global Payments,GPN,35020000000
CoStar Group,CSGP,34850000000
Exelon Corporation,EXC,34740000000
Rockwell Automation,ROK,34630000000
The Trade Desk,TTD,34400000000
Cummins,CMI,33860000000
Veeva Systems,VEEV,33680000000
GE HealthCare Technologies,GEHC,33479999999.999996
PPG Industries,PPG,33439999999.999996
Kroger,KR,33390000000
Nasdaq,NDAQ,33360000000
Halliburton,HAL,33200000000.000004
Xcel Energy,XEL,32890000000
Royal Caribbean,RCL,32140000000
Extra Space Storage,EXR,32100000000
Corteva,CTVA,32070000000
Coinbase,COIN,31770000000
GlobalFoundries,GFS,31440000000
ON Semiconductor,ON,31320000000
VICI Properties,VICI,31290000000
Consolidated Edison,ED,31230000000
Martin Marietta,MLM,31230000000
LyondellBasell,LYB,30730000000
CDW Corporation,CDW,30440000000
Equifax,EFX,30390000000
Baker Hughes,BKR,30100000000
FICO,FICO,30030000000
HubSpot,HUBS,29930000000
Vulcan Materials,VMC,29880000000
MongoDB,MDB,29250000000
Dollar Tree,DLTR,29190000000
HP,HPQ,29130000000
Dollar General,DG,29090000000
Monolithic Power Systems,MPWR,29080000000
Archer Daniels Midland (ADM),ADM,29000000000
PSEG,PEG,28810000000
Ansys,ANSS,28790000000
Quanta Services,PWR,28670000000
ResMed,RMD,28400000000
Take 2 Interactive,TTWO,28320000000
Diamondback Energy,FANG,27700000000
Cloudflare,NET,27660000000
Keysight,KEYS,27610000000
Dupont De Nemours,DD,27390000000
Supermicro,SMCI,27160000000
Devon Energy,DVN,27130000000
West Pharmaceutical,WST,27090000000
Xylem,XYL,27020000000
Snap,SNAP,26940000000
Brown Forman,BF-A,26870000000
Grayscale Bitcoin Trust,GBTC,26600000000
Corning,GLW,26430000000
CBRE Group,CBRE,26390000000
Mettler-Toledo,MTD,26370000000
Discover Financial Services,DFS,26350000000
Pinterest,PINS,26100000000
Cardinal Health,CAH,26100000000
The Hartford,HIG,26070000000
Fortive,FTV,25990000000
Edison International,EIX,25950000000
Cheniere Energy,CQP,25890000000
Splunk,SPLK,25830000000
Delta Air Lines,DAL,25640000000
Zimmer Biomet,ZBH,25480000000
AvalonBay Communities,AVB,25360000000
WEC Energy Group,WEC,25320000000
Roblox,RBLX,25270000000
Rocket Companies,RKT,24830000000
Warner Bros. Discovery,WBD,24680000000
T. Rowe Price,TROW,24640000000
Tractor Supply,TSCO,24640000000
Church & Dwight,CHD,24490000000
Broadridge Financial Solutions,BR,24460000000
SBA Communications,SBAC,24440000000
American Water Works,AWK,24280000000
ULTA Beauty,ULTA,24240000000
Weyerhaeuser,WY,24140000000
Symbotic,SYM,23860000000
Fifth Third Bank,FITB,23800000000
M&T Bank,MTB,23550000000
Raymond James,RJF,23540000000
Wabtec,WAB,23350000000
Tradeweb,TW,23140000000
Illumina,ILMN,23020000000
Howmet Aerospace,HWM,22840000000
PulteGroup,PHM,22680000000
Equity Residential,EQR,22670000000
State Street Corporation,STT,22540000000
Blue Owl Capital,OWL,22520000000
NVR,NVR,22420000000
Alnylam Pharmaceuticals,ALNY,22290000000
eBay,EBAY,22080000000
HEICO,HEI,21970000000
PTC,PTC,21850000000
Brown & Brown,BRO,21840000000
Alexandria Real Estate Equities,ARE,21810000000
First Citizens BancShares,FCNCA,21530000000
DTE Energy,DTE,21400000000
Builders FirstSource,BLDR,21390000000
Fleetcor,FLT,21230000000
J. B. Hunt,JBHT,21160000000
Expedia Group,EXPE,21110000000
Carnival Corporation,CCL,21100000000
Entergy,ETR,21020000000
Dover,DOV,20980000000
FirstEnergy,FE,20910000000
International Flavors & Fragrances,IFF,20890000000
Align Technology,ALGN,20820000000
Rollins,ROL,20810000000
Zoom,ZM,20790000000
W. R. Berkley,WRB,20750000000
VeriSign,VRSN,20720000000
Vertiv Holdings,VRT,20680000000
Molina Healthcare,MOH,20650000000
Hewlett Packard Enterprise,HPE,20470000000
Live Nation,LYV,20450000000
Invitation Homes,INVH,20400000000
UWM Holdings,UWMC,20390000000
Sirius XM,SIRI,20100000000
Teledyne,TDY,19980000000
Genuine Parts Company,GPC,19950000000
Baxter,BAX,19900000000
Deckers Brands,DECK,19710000000
Iron Mountain,IRM,19680000000
Markel,MKL,19610000000
Tyson Foods,TSN,19460000000
Western Digital,WDC,19400000000
Cboe,CBOE,19370000000
Darden Restaurants,DRI,19370000000
Walgreens Boots Alliance,WBA,19290000000
Eversource Energy,ES,19200000000
LabCorp,LH,19200000000
Waters Corporation,WAT,19160000000
Principal,PFG,19100000000
PPL,PPL,19090000000
Ventas,VTR,19070000000
Warner Music Group,WMG,19050000000
Targa Resources,TRGP,19040000000
Axon Enterprise,AXON,18920000000
Huntington Bancshares,HBAN,18770000000
Coterra Energy,CTRA,18750000000
Booz Allen Hamilton,BAH,18740000000
Kellogg's,K,18720000000
Akamai,AKAM,18620000000
Steel Dynamics,STLD,18610000000
Expeditors,EXPD,18610000000
Cooper Companies,COO,18580000000
Freddie Mac,FMCCT,18520000000
NetApp,NTAP,18350000000
Ameren,AEE,18290000000
DraftKings,DKNG,18290000000
Tyler Technologies,TYL,18250000000
LPL Financial,LPLA,18250000000
Entegris,ENTG,18230000000
McCormick & Company,MKC,18210000000
Erie Indemnity,ERIE,18070000000
Omnicom,OMC,17920000000
Westlake Chemical,WLK,17910000000
Ball Corporation,BALL,17850000000
Clorox,CLX,17840000000
Southwest Airlines,LUV,17790000000
FactSet,FDS,17780000000
Regions Financial,RF,17710000000
Hubbell,HUBB,17630000000
Hologic,HOLX,17540000000
CenterPoint Energy,CNP,17490000000
Dynatrace,DT,17470000000
Cincinnati Financial,CINF,17440000000
Jacobs Engineering,J,17250000000
Abiomed,ABMD,17180000000
Atmos Energy,ATO,17160000000
BioMarin Pharmaceutical,BMRN,17129999999.999998
Samsara,IOT,16960000000
Skyworks Solutions,SWKS,16890000000
Hormel Foods,HRL,16790000000
EPAM Systems,EPAM,16710000000
Textron,TXT,16690000000.000002
Northern Trust,NTRS,16600000000.000002
CMS Energy,CMS,16550000000
Sun Communities,SUI,16239999999.999998
Loews Corporation,L,16230000000
Teradyne,TER,16149999999.999998
Reliance Steel & Aluminum,RS,16149999999.999998
Avery Dennison,AVY,15980000000
IDEX,IEX,15960000000
Celanese,CE,15930000000
Synchrony,SYF,15870000000
Mid-America Apartment Communities,MAA,15860000000
Essex Property Trust,ESS,15790000000
Formula One Group,FWONK,15770000000
Jabil,JBL,15750000000
Citizens Financial Group,CFG,15740000000
First Solar,FSLR,15690000000
Best Buy,BBY,15680000000
Lennox,LII,15620000000
Corebridge Financial,CRBG,15450000000
Gen Digital,GEN,15370000000
Avantor,AVTR,15330000000
Watsco,WSO,15320000000
TPG Capital,TPG,15310000000
Leidos,LDOS,15290000000
Snap-on,SNA,15260000000
AppLovin,APP,15260000000
SS&C Technologies,SSNC,15230000000
Packaging Corporation of America,PKG,15180000000
GoDaddy,GDDY,15140000000
Lamb Weston,LW,15140000000
Masco,MAS,15100000000
Carlisle Companies,CSL,15080000000
Bentley Systems,BSY,15050000000
Domino's Pizza,DPZ,15010000000
Fox Corporation,FOX,15000000000
Rivian,RIVN,14920000000
MGM Resorts,MGM,14800000000
Carlyle Group,CG,14700000000
POOLCORP,POOL,14700000000
CF Industries,CF,14690000000
Stanley Black & Decker,SWK,14580000000
Vistra,VST,14550000000
Quest Diagnostics,DGX,14550000000
AMH (American Homes 4 Rent),AMH,14530000000
EQT Corporation,EQT,14520000000
Enphase Energy,ENPH,14510000000
Nordson,NDSN,14420000000
Graco,GGG,14280000000
News Corp,NWS,14260000000
Okta,OKTA,14230000000
Viatris,VTRS,14150000000
Host Hotels & Resorts,HST,14070000000
Albemarle,ALB,14040000000
Neurocrine Biosciences,NBIX,14000000000
Conagra Brands,CAG,13960000000
Magellan Midstream Partners,MMP,13940000000
United Airlines Holdings,UAL,13900000000
J.M. Smucker Company,SJM,13810000000
RPM International,RPM,13790000000
W. P. Carey,WPC,13780000000
Manhattan Associates,MANH,13770000000
Kimco Realty,KIM,13690000000
Insulet,PODD,13680000000
KeyCorp (KeyBank),KEY,13670000000
Fidelity National Financial,FNF,13670000000
Revvity,RVTY,13590000000
Incyte,INCY,13580000000
Molson Coors,TAP,13540000000
Nutanix,NTNX,13530000000
Marathon Oil,MRO,13440000000
UiPath,PATH,13410000000
Owens Corning,OC,13410000000
Hyatt Hotels,H,13390000000
TransUnion,TRU,13380000000
Franklin Resources,BEN,13370000000
Zillow,Z,13270000000
Twilio,TWLO,13210000000
Campbell Soup,CPB,13180000000
UDR Apartments,UDR,13080000000
Equity LifeStyle Properties,ELS,13080000000
Affirm,AFRM,12990000000
Zebra Technologies,ZBRA,12970000000
Pure Storage,PSTG,12970000000
AspenTech,AZPN,12890000000
Amerco,UHAL,12880000000
Bunge,BG,12850000000
Williams-Sonoma,WSM,12820000000
Unity Software,U,12820000000
Roku,ROKU,12770000000
Lincoln Electric,LECO,12770000000
Burlington Stores,BURL,12760000000
Trimble,TRMB,12700000000
International Paper,IP,12690000000
Interpublic Group,IPG,12660000000
DocuSign,DOCU,12650000000
LKQ Corporation,LKQ,12590000000
Albertsons,ACI,12520000000
Alliant Energy,LNT,12490000000
Dick's Sporting Goods,DKS,12320000000
Jack Henry & Associates,JKHY,12310000000
Gaming and Leisure Properties,GLPI,12230000000
Saia,SAIA,12200000000
NRG Energy,NRG,12150000000
AECOM,ACM,12120000000
ZoomInfo,ZI,12050000000
A. O. Smith,AOS,12000000000
CNA Financial,CNA,11940000000
Juniper Networks,JNPR,11910000000
Karuna Therapeutics,KRTX,11900000000
Elastic NV,ESTC,11880000000
Celsius Holdings,CELH,11820000000
Exact Sciences,EXAS,11810000000
Avangrid,AGR,11800000000
Morningstar,MORN,11780000000
TopBuild,BLD,11740000000
Rexford Industrial,REXR,11720000000
Regency Centers,REG,11690000000
Liberty Broadband,LBRDA,11680000000
Ares Capital,ARCC,11640000000
Globe Life,GL,11540000000
Ovintiv,OVV,11530000000
Sarepta Therapeutics,SRPT,11530000000
Evergy,EVRG,11520000000
Teleflex,TFX,11490000000
Texas Pacific Land Trust,TPL,11420000000
AES,AES,11410000000
Ryan Specialty Group,RYAN,11400000000
Plains All American Pipeline,PAA,11390000000
Charles River Laboratories,CRL,11340000000
Bio-Techne,TECH,11330000000
Equitable Holdings,EQH,11290000000
Reinsurance Group of America,RGA,11280000000
Ally,ALLY,11240000000
Boston Properties,BXP,11200000000
CarMax,KMX,11180000000
GitLab,GTLB,11180000000
Paycom,PAYC,11140000000
Western Midstream,WES,11140000000
US Foods,USFD,11120000000
Performance Food Group,PFGC,11040000000
F5 Networks,FFIV,11010000000
HF Sinclair,DINO,11000000000
Floor & Decor,FND,10960000000
Dropbox,DBX,10880000000
Crown Holdings,CCK,10880000000
Coty,COTY,10880000000
Lamar Advertising,LAMR,10860000000
Wynn Resorts,WYNN,10820000000
U.S. Steel,X,10780000000
Amdocs,DOX,10770000000
NiSource,NI,10720000000
Westrock,WRK,10700000000
Universal Health Services,UHS,10680000000
Ceridian,CDAY,10570000000
Healthpeak Properties,PEAK,10540000000
MarketAxess,MKTX,10480000000
East West Bancorp,EWBC,10450000000
Repligen,RGEN,10450000000
Emcor,EME,10440000000
Match Group,MTCH,10390000000
The Mosaic Company,MOS,10390000000
Permian Resources,PR,10360000000
Penske Automotive,PAG,10300000000
Procore,PCOR,10300000000
Five Below,FIVE,10290000000
Toll Brothers,TOL,10260000000
Advanced Drainage Systems,WMS,10250000000
Camden Property Trust,CPT,10250000000
United Therapeutics,UTHR,10250000000
Huntington Ingalls Industries,HII,10190000000
Casey's General Stores,CASY,10180000000
Legend Biotech,LEGN,10180000000
Pershing Square Holdings,PSHZF,10160000000
XPO Logistics,XPO,10150000000
CubeSmart,CUBE,10140000000
Service Corporation International,SCI,10130000000
Chesapeake Energy,CHK,10090000000
Liberty Media,LSXMB,10090000000
C. H. Robinson,CHRW,10080000000
American Financial Group,AFG,10070000000
Qorvo,QRVO,10050000000
Bruker,BRKR,10050000000
Essential Utilities,WTRG,10040000000
Eastman Chemical,EMN,10030000000
NA,NA,NA
NA,NA,NA
